"Student.code","Teacher.code","Subject","Source","Category","Score"
1971,"CUNP","Drama","Teacher","Diligence",4
1971,"HAY","English Advanced","Teacher","Diligence",4
1971,"MCV","History Extension","Teacher","Diligence",3
1971,"DOB","Mathematics","Teacher","Diligence",3
1971,"MCN","History Modern","Teacher","Diligence",4
1971,"CAM","Physics","Teacher","Diligence",4
1972,"CARN","English Advanced","Teacher","Diligence",5
1972,"CARL","English Extension 1","Teacher","Diligence",5
1972,"RIN","English Extension 2","Teacher","Diligence",3
1972,"MIC","French Continuers","Teacher","Diligence",3
1972,"MCV","History Extension","Teacher","Diligence",4
1972,"HIC","Mathematics","Teacher","Diligence",4
1972,"HIC","Mathematics Extension 1","Teacher","Diligence",5
1972,"HIC","Mathematics Extension 2","Teacher","Diligence",4
1972,"MCN","History Modern","Teacher","Diligence",5
1981,"MCV","History Ancient","Teacher","Diligence",4
1981,"GAU","Business Studies","Teacher","Diligence",4
1981,"LAN","Design and Technology","Teacher","Diligence",4
1981,"COX","English Advanced","Teacher","Diligence",4
1981,"MCV","History Extension","Teacher","Diligence",4
1981,"MCG","Mathematics General","Teacher","Diligence",4
2007,"SCH","Biology","Teacher","Diligence",3
2007,"BEV","Chemistry","Teacher","Diligence",2
2007,"HAY","English Advanced","Teacher","Diligence",3
2007,"MARN","Engineering Studies","Teacher","Diligence",3
2007,"MCG","Mathematics General","Teacher","Diligence",3
2012,"SCH","Biology","Teacher","Diligence",2
2012,"BEV","Chemistry","Teacher","Diligence",2
2012,"CUNP","Drama","Teacher","Diligence",4
2012,"CARN","English Advanced","Teacher","Diligence",3
2012,"MCG","Mathematics General","Teacher","Diligence",4
2012,"STP","PDHPE","Teacher","Diligence",3
2026,"SCH","Biology","Teacher","Diligence",3
2026,"CUNP","Drama","Teacher","Diligence",5
2026,"MCV","History Extension","Teacher","Diligence",4
2026,"MCN","History Modern","Teacher","Diligence",4
2026,"PUG","Visual Arts","Teacher","Diligence",4
2039,"MCV","History Ancient","Teacher","Diligence",4
2039,"COX","English Advanced","Teacher","Diligence",4
2039,"CARL","English Extension 1","Teacher","Diligence",4
2039,"SHE","Geography","Teacher","Diligence",4
2039,"MCV","History Extension","Teacher","Diligence",3
